Model,MAE,RMSE,MAPE,Train_s,Infer_s
SARIMA (auto_arima),0.5981912796333902,0.716422465125588,112.37489188507372,293.21334740001475,0.0
ARIMA (auto_arima),0.6020311321338563,0.7187906966536189,113.66490236511746,4.3850343999802135,0.0
Moving average (48),0.6210041650928233,0.730426436073461,121.66725712623818,0.0,0.048167700006160885
Moving average (24),0.649255106039908,0.7522184398743769,132.652746116275,0.0,0.04722279997076839
Exponential Smoothing (Holt-Winters),0.7040192631729243,0.8871234541011065,132.48183177113614,1.2815283000236377,0.0
Seasonal naive (weekly),0.5842807988162496,0.9008857564460586,46.79986383214952,0.0,0.06361679994734004
Naive (last value),0.5853392778285953,0.9019703071852164,45.12690330320764,0.0,0.003341200004797429
Seasonal naive (daily),0.5851953469643978,0.9021816882929963,45.2871638407182,0.0,0.08187599998200312
